Dia de Data Registro Vacina;Dose;Contagem de Dose
26 de fevereiro de 2021;1° DOSE;22717
25 de fevereiro de 2021;1° DOSE;24711
24 de fevereiro de 2021;1° DOSE;27157
23 de fevereiro de 2021;1° DOSE;34424
22 de fevereiro de 2021;1° DOSE;37781
21 de fevereiro de 2021;1° DOSE;6028
20 de fevereiro de 2021;1° DOSE;16311
19 de fevereiro de 2021;1° DOSE;43153
18 de fevereiro de 2021;1° DOSE;50266
17 de fevereiro de 2021;1° DOSE;52032
16 de fevereiro de 2021;1° DOSE;53883
15 de fevereiro de 2021;1° DOSE;68625
14 de fevereiro de 2021;1° DOSE;7257
13 de fevereiro de 2021;1° DOSE;30370
12 de fevereiro de 2021;1° DOSE;107791
11 de fevereiro de 2021;1° DOSE;94803
10 de fevereiro de 2021;1° DOSE;81889
9 de fevereiro de 2021;1° DOSE;111315
8 de fevereiro de 2021;1° DOSE;102571
7 de fevereiro de 2021;1° DOSE;14283
6 de fevereiro de 2021;1° DOSE;44156
5 de fevereiro de 2021;1° DOSE;91001
4 de fevereiro de 2021;1° DOSE;80365
3 de fevereiro de 2021;1° DOSE;70679
2 de fevereiro de 2021;1° DOSE;58868
1 de fevereiro de 2021;1° DOSE;56204
31 de janeiro de 2021;1° DOSE;6006
30 de janeiro de 2021;1° DOSE;22010
29 de janeiro de 2021;1° DOSE;55741
28 de janeiro de 2021;1° DOSE;70958
27 de janeiro de 2021;1° DOSE;38236
26 de janeiro de 2021;1° DOSE;44188
25 de janeiro de 2021;1° DOSE;21338
24 de janeiro de 2021;1° DOSE;6384
23 de janeiro de 2021;1° DOSE;16875
22 de janeiro de 2021;1° DOSE;51676
21 de janeiro de 2021;1° DOSE;32113
20 de janeiro de 2021;1° DOSE;14183
19 de janeiro de 2021;1° DOSE;7451
18 de janeiro de 2021;1° DOSE;877
17 de janeiro de 2021;1° DOSE;100
26 de abril de 2021;2° DOSE;118351
25 de abril de 2021;2° DOSE;9123
24 de abril de 2021;2° DOSE;63789
23 de abril de 2021;2° DOSE;149349
22 de abril de 2021;2° DOSE;132801
21 de abril de 2021;2° DOSE;56094
20 de abril de 2021;2° DOSE;148235
19 de abril de 2021;2° DOSE;138323
18 de abril de 2021;2° DOSE;17475
17 de abril de 2021;2° DOSE;82482
16 de abril de 2021;2° DOSE;234113
15 de abril de 2021;2° DOSE;123856
14 de abril de 2021;2° DOSE;83077
13 de abril de 2021;2° DOSE;91646
12 de abril de 2021;2° DOSE;127852
11 de abril de 2021;2° DOSE;12568
10 de abril de 2021;2° DOSE;55347
9 de abril de 2021;2° DOSE;165731
8 de abril de 2021;2° DOSE;66802
7 de abril de 2021;2° DOSE;75846
6 de abril de 2021;2° DOSE;99804
5 de abril de 2021;2° DOSE;109753
4 de abril de 2021;2° DOSE;4472
3 de abril de 2021;2° DOSE;15206
2 de abril de 2021;2° DOSE;7247
1 de abril de 2021;2° DOSE;43261
31 de março de 2021;2° DOSE;58930
30 de março de 2021;2° DOSE;50706
29 de março de 2021;2° DOSE;45854
28 de março de 2021;2° DOSE;5668
27 de março de 2021;2° DOSE;13952
26 de março de 2021;2° DOSE;31936
25 de março de 2021;2° DOSE;40151
24 de março de 2021;2° DOSE;53731
23 de março de 2021;2° DOSE;21416
22 de março de 2021;2° DOSE;19074
21 de março de 2021;2° DOSE;2489
20 de março de 2021;2° DOSE;6437
19 de março de 2021;2° DOSE;18385
18 de março de 2021;2° DOSE;25472
17 de março de 2021;2° DOSE;32340
16 de março de 2021;2° DOSE;25595
15 de março de 2021;2° DOSE;29376
14 de março de 2021;2° DOSE;1803
13 de março de 2021;2° DOSE;11750
12 de março de 2021;2° DOSE;43351
11 de março de 2021;2° DOSE;48145
10 de março de 2021;2° DOSE;46952
9 de março de 2021;2° DOSE;49876
8 de março de 2021;2° DOSE;49802
7 de março de 2021;2° DOSE;4718
6 de março de 2021;2° DOSE;24919
5 de março de 2021;2° DOSE;63197
4 de março de 2021;2° DOSE;59871
3 de março de 2021;2° DOSE;59955
2 de março de 2021;2° DOSE;59441
1 de março de 2021;2° DOSE;28099
28 de fevereiro de 2021;2° DOSE;3340
27 de fevereiro de 2021;2° DOSE;8546
26 de fevereiro de 2021;2° DOSE;32332
25 de fevereiro de 2021;2° DOSE;20845
24 de fevereiro de 2021;2° DOSE;22660
23 de fevereiro de 2021;2° DOSE;26243
22 de fevereiro de 2021;2° DOSE;28850
21 de fevereiro de 2021;2° DOSE;2163
20 de fevereiro de 2021;2° DOSE;7475
19 de fevereiro de 2021;2° DOSE;41002
18 de fevereiro de 2021;2° DOSE;52892
17 de fevereiro de 2021;2° DOSE;53848
16 de fevereiro de 2021;2° DOSE;56289
15 de fevereiro de 2021;2° DOSE;51969
14 de fevereiro de 2021;2° DOSE;9367
13 de fevereiro de 2021;2° DOSE;12456
12 de fevereiro de 2021;2° DOSE;51106
11 de fevereiro de 2021;2° DOSE;32602
10 de fevereiro de 2021;2° DOSE;4372
9 de fevereiro de 2021;2° DOSE;923
8 de fevereiro de 2021;2° DOSE;333
7 de fevereiro de 2021;2° DOSE;22
6 de fevereiro de 2021;2° DOSE;58
5 de fevereiro de 2021;2° DOSE;26
4 de fevereiro de 2021;2° DOSE;16
3 de fevereiro de 2021;2° DOSE;14
2 de fevereiro de 2021;2° DOSE;4
1 de fevereiro de 2021;2° DOSE;46
31 de janeiro de 2021;2° DOSE;4
30 de janeiro de 2021;2° DOSE;2
29 de janeiro de 2021;2° DOSE;4
28 de janeiro de 2021;2° DOSE;34
27 de janeiro de 2021;2° DOSE;3
26 de janeiro de 2021;2° DOSE;4
25 de janeiro de 2021;2° DOSE;3
23 de janeiro de 2021;2° DOSE;2
22 de janeiro de 2021;2° DOSE;9
20 de janeiro de 2021;2° DOSE;1
18 de janeiro de 2021;2° DOSE;2
