Dia de Data Registro Vacina;Dose;Contagem de Dose
17 de janeiro de 2021;1° DOSE;100
3 de maio de 2021;2° DOSE;3809
2 de maio de 2021;2° DOSE;3735
1 de maio de 2021;2° DOSE;34702
30 de abril de 2021;2° DOSE;77913
29 de abril de 2021;2° DOSE;81454
28 de abril de 2021;2° DOSE;116349
27 de abril de 2021;2° DOSE;110895
26 de abril de 2021;2° DOSE;120623
25 de abril de 2021;2° DOSE;9123
24 de abril de 2021;2° DOSE;63788
23 de abril de 2021;2° DOSE;149347
22 de abril de 2021;2° DOSE;132800
21 de abril de 2021;2° DOSE;56094
20 de abril de 2021;2° DOSE;148235
19 de abril de 2021;2° DOSE;138322
18 de abril de 2021;2° DOSE;17475
17 de abril de 2021;2° DOSE;82482
16 de abril de 2021;2° DOSE;234111
15 de abril de 2021;2° DOSE;123856
14 de abril de 2021;2° DOSE;83076
13 de abril de 2021;2° DOSE;91644
12 de abril de 2021;2° DOSE;127850
11 de abril de 2021;2° DOSE;12568
10 de abril de 2021;2° DOSE;55346
9 de abril de 2021;2° DOSE;165734
8 de abril de 2021;2° DOSE;66802
7 de abril de 2021;2° DOSE;75844
6 de abril de 2021;2° DOSE;99806
5 de abril de 2021;2° DOSE;109754
4 de abril de 2021;2° DOSE;4472
3 de abril de 2021;2° DOSE;15206
2 de abril de 2021;2° DOSE;7247
1 de abril de 2021;2° DOSE;43260
31 de março de 2021;2° DOSE;58930
30 de março de 2021;2° DOSE;50709
29 de março de 2021;2° DOSE;45854
28 de março de 2021;2° DOSE;5668
27 de março de 2021;2° DOSE;13952
26 de março de 2021;2° DOSE;31935
25 de março de 2021;2° DOSE;40152
24 de março de 2021;2° DOSE;53730
23 de março de 2021;2° DOSE;21416
22 de março de 2021;2° DOSE;19074
21 de março de 2021;2° DOSE;2488
20 de março de 2021;2° DOSE;6436
19 de março de 2021;2° DOSE;18385
18 de março de 2021;2° DOSE;25472
17 de março de 2021;2° DOSE;32340
16 de março de 2021;2° DOSE;25595
15 de março de 2021;2° DOSE;29376
14 de março de 2021;2° DOSE;1803
13 de março de 2021;2° DOSE;11750
12 de março de 2021;2° DOSE;43351
11 de março de 2021;2° DOSE;48144
10 de março de 2021;2° DOSE;46952
9 de março de 2021;2° DOSE;49877
8 de março de 2021;2° DOSE;49802
7 de março de 2021;2° DOSE;4718
6 de março de 2021;2° DOSE;24919
5 de março de 2021;2° DOSE;63196
4 de março de 2021;2° DOSE;59873
3 de março de 2021;2° DOSE;59954
2 de março de 2021;2° DOSE;59441
1 de março de 2021;2° DOSE;28099
28 de fevereiro de 2021;2° DOSE;3340
27 de fevereiro de 2021;2° DOSE;8546
26 de fevereiro de 2021;2° DOSE;32332
25 de fevereiro de 2021;2° DOSE;20845
24 de fevereiro de 2021;2° DOSE;22661
23 de fevereiro de 2021;2° DOSE;26243
22 de fevereiro de 2021;2° DOSE;28850
21 de fevereiro de 2021;2° DOSE;2163
20 de fevereiro de 2021;2° DOSE;7475
19 de fevereiro de 2021;2° DOSE;41002
18 de fevereiro de 2021;2° DOSE;52891
17 de fevereiro de 2021;2° DOSE;53846
16 de fevereiro de 2021;2° DOSE;56288
15 de fevereiro de 2021;2° DOSE;51967
14 de fevereiro de 2021;2° DOSE;9367
13 de fevereiro de 2021;2° DOSE;12455
12 de fevereiro de 2021;2° DOSE;51106
11 de fevereiro de 2021;2° DOSE;32602
10 de fevereiro de 2021;2° DOSE;4372
9 de fevereiro de 2021;2° DOSE;983
8 de fevereiro de 2021;2° DOSE;355
7 de fevereiro de 2021;2° DOSE;24
6 de fevereiro de 2021;2° DOSE;63
5 de fevereiro de 2021;2° DOSE;30
4 de fevereiro de 2021;2° DOSE;16
3 de fevereiro de 2021;2° DOSE;14
2 de fevereiro de 2021;2° DOSE;6
1 de fevereiro de 2021;2° DOSE;46
30 de janeiro de 2021;2° DOSE;1
29 de janeiro de 2021;2° DOSE;6
28 de janeiro de 2021;2° DOSE;34
27 de janeiro de 2021;2° DOSE;3
26 de janeiro de 2021;2° DOSE;4
25 de janeiro de 2021;2° DOSE;3
23 de janeiro de 2021;2° DOSE;5
22 de janeiro de 2021;2° DOSE;9
20 de janeiro de 2021;2° DOSE;1
18 de janeiro de 2021;2° DOSE;2
