Dia de Data Registro Vacina;Dose;Contagem de Dose
15 de março de 2021;2° DOSE;29373
14 de março de 2021;2° DOSE;1803
13 de março de 2021;2° DOSE;11750
12 de março de 2021;2° DOSE;43351
11 de março de 2021;2° DOSE;48144
10 de março de 2021;2° DOSE;46952
9 de março de 2021;2° DOSE;49879
8 de março de 2021;2° DOSE;49801
7 de março de 2021;2° DOSE;4718
6 de março de 2021;2° DOSE;24919
5 de março de 2021;2° DOSE;63197
4 de março de 2021;2° DOSE;59870
3 de março de 2021;2° DOSE;59955
2 de março de 2021;2° DOSE;59441
1 de março de 2021;2° DOSE;28099
28 de fevereiro de 2021;2° DOSE;3340
27 de fevereiro de 2021;2° DOSE;8546
26 de fevereiro de 2021;2° DOSE;32333
25 de fevereiro de 2021;2° DOSE;20845
24 de fevereiro de 2021;2° DOSE;22660
23 de fevereiro de 2021;2° DOSE;26248
22 de fevereiro de 2021;2° DOSE;28850
21 de fevereiro de 2021;2° DOSE;2163
20 de fevereiro de 2021;2° DOSE;7475
19 de fevereiro de 2021;2° DOSE;41004
18 de fevereiro de 2021;2° DOSE;52893
17 de fevereiro de 2021;2° DOSE;53848
16 de fevereiro de 2021;2° DOSE;56288
15 de fevereiro de 2021;2° DOSE;51968
14 de fevereiro de 2021;2° DOSE;9367
13 de fevereiro de 2021;2° DOSE;12456
12 de fevereiro de 2021;2° DOSE;51106
11 de fevereiro de 2021;2° DOSE;32604
10 de fevereiro de 2021;2° DOSE;4375
9 de fevereiro de 2021;2° DOSE;463
8 de fevereiro de 2021;2° DOSE;303
7 de fevereiro de 2021;2° DOSE;18
6 de fevereiro de 2021;2° DOSE;52
5 de fevereiro de 2021;2° DOSE;25
4 de fevereiro de 2021;2° DOSE;10
3 de fevereiro de 2021;2° DOSE;14
2 de fevereiro de 2021;2° DOSE;4
1 de fevereiro de 2021;2° DOSE;46
31 de janeiro de 2021;2° DOSE;4
30 de janeiro de 2021;2° DOSE;2
29 de janeiro de 2021;2° DOSE;4
28 de janeiro de 2021;2° DOSE;33
27 de janeiro de 2021;2° DOSE;3
26 de janeiro de 2021;2° DOSE;4
25 de janeiro de 2021;2° DOSE;3
23 de janeiro de 2021;2° DOSE;1
22 de janeiro de 2021;2° DOSE;9
20 de janeiro de 2021;2° DOSE;1
18 de janeiro de 2021;2° DOSE;2
